song_name,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
Aattuthottil - From _Athiran__spotdown.org.wav,0.1613617241382599,0.06350694596767426,0.14285965263843536,0.061204563826322556,0.09286046028137207,0.23062945902347565,0.0769711509346962,0.187482088804245,0.0877801924943924,0.22324931621551514,0.1868211030960083,0.06841252744197845,-72.34695434570312,53.6485595703125,6.288037300109863,14.377847671508789,3.6581990718841553,2.116697072982788,-0.15287092328071594,3.6342525482177734,-2.2019450664520264,1.780619502067566,0.592449963092804,0.15745572745800018,0.7820190787315369,0.15549185349265832
Alliyambal - Remix Version_spotdown.org.wav,0.1850273460149765,0.09317237138748169,0.15929406881332397,0.10029365867376328,0.22761155664920807,0.16667763888835907,0.13253603875637054,0.22290119528770447,0.12281372398138046,0.19172300398349762,0.095955990254879,0.15899443626403809,-70.12377166748047,42.5638427734375,-0.8912264108657837,3.8488852977752686,1.1255232095718384,-3.7630810737609863,-3.7145118713378906,-1.8119219541549683,-8.495901107788086,-3.563131093978882,-3.4885852336883545,-3.26835298538208,-3.4705440998077393,0.1549674912380249
Arivu_spotdown.org.wav,0.31988030672073364,0.25139278173446655,0.3045830726623535,0.25905147194862366,0.3468789756298065,0.20720921456813812,0.23605886101722717,0.27387702465057373,0.19995622336864471,0.2710125148296356,0.1897725760936737,0.2861940264701843,-57.141639709472656,41.90183639526367,-1.8588351011276245,10.286249160766602,4.136993885040283,2.132761240005493,-1.9925249814987183,4.147012233734131,0.2085806429386139,1.987036108970642,-0.25214239954948425,0.9201580882072449,-0.5988398194313049,0.09879595226091586
Athimanoharam_spotdown.org.wav,0.17751896381378174,0.21678504347801208,0.1861802339553833,0.12867601215839386,0.26381757855415344,0.16463084518909454,0.3029739260673523,0.19198425114154816,0.2148488461971283,0.29992547631263733,0.15305112302303314,0.23502765595912933,-41.04913330078125,40.29178237915039,-4.579281806945801,9.455595016479492,2.572608470916748,4.322965621948242,1.6975492238998413,0.09395258873701096,-1.9867290258407593,1.114026427268982,-1.2029969692230225,0.39022931456565857,-0.4254927635192871,0.09384043622440007
Chathy (Oru Thepp Gaanam)_spotdown.org.wav,0.2349337637424469,0.2725086510181427,0.4449906647205353,0.26121869683265686,0.3050856590270996,0.27596792578697205,0.2859618067741394,0.35921794176101685,0.32935985922813416,0.35850077867507935,0.24688076972961426,0.2182954102754593,-30.855224609375,26.299880981445312,3.244112491607666,8.682805061340332,5.1920084953308105,0.601812481880188,0.9527878761291504,1.3978147506713867,-2.9972808361053467,2.3520891666412354,-2.118110179901123,1.7674859762191772,-0.8083053827285767,0.20035347884774243
Cherathukal (From _Kumbalangi Nights_)_spotdown.org.wav,0.10451207309961319,0.14795073866844177,0.16437861323356628,0.09161882102489471,0.2882767915725708,0.08426964282989502,0.15942563116550446,0.1653594821691513,0.17458800971508026,0.22023284435272217,0.0924372673034668,0.28025880455970764,-84.72997283935547,55.33308029174805,8.375205993652344,7.211222171783447,2.662921905517578,3.861515760421753,-0.5745522379875183,-1.0525213479995728,-1.6584030389785767,-1.1466947793960571,-4.177493572235107,-1.2259763479232788,-2.424471139907837,0.25298635391791535
Ente Kannil Ninakkaai - From _Bangalore Days__spotdown.org.wav,0.21004773676395416,0.11857564747333527,0.16019287705421448,0.19766847789287567,0.11563250422477722,0.23568281531333923,0.1184660941362381,0.19862256944179535,0.14006417989730835,0.1473970264196396,0.2684817612171173,0.11909819394350052,-84.07052612304688,43.69771957397461,13.054389953613281,13.149310111999512,10.303178787231445,3.5238289833068848,6.831162929534912,0.15661610662937164,-0.7717415690422058,-0.9409427642822266,-2.5493180751800537,-1.7145359516143799,-2.171151876449585,0.21599340895496852
I.O.Y.A (Ayyo Vayye)_spotdown.org.wav,0.2821325361728668,0.21329958736896515,0.27919018268585205,0.37252533435821533,0.22419050335884094,0.34569114446640015,0.2686298191547394,0.3210700452327728,0.27302274107933044,0.23346419632434845,0.3696090281009674,0.22092483937740326,-35.04051208496094,42.319664001464844,-3.067763328552246,7.587893962860107,-0.14864011108875275,1.8874863386154175,-3.166891098022461,1.6440470218658447,-2.645886182785034,0.025539327412843704,-1.6068212985992432,-1.4000402688980103,-3.152705430984497,0.08424946940003593
Ilakozhiye - From _Thalavara__spotdown.org.wav,0.23576828837394714,0.23623040318489075,0.1488240510225296,0.2869914472103119,0.16517513990402222,0.3195582926273346,0.2447633445262909,0.15160375833511353,0.21751661598682404,0.161712646484375,0.2747621238231659,0.151685893535614,-50.347103118896484,46.767635345458984,5.2010416984558105,6.867978096008301,2.7413508892059326,1.897991418838501,1.7925350666046143,-0.25480103492736816,-1.7040351629257202,-0.25038638710975647,-1.552754282951355,1.5931997299194336,-1.3989242315292358,0.1126291981552745
Innale Ente Nenjile_spotdown.org.wav,0.19357635080814362,0.21617481112480164,0.38499489426612854,0.17147210240364075,0.2504671514034271,0.20070530474185944,0.16546444594860077,0.2167462855577469,0.1861618310213089,0.3491631746292114,0.13203272223472595,0.15771329402923584,-56.6307373046875,40.27751159667969,8.180460929870605,9.779095649719238,7.525634765625,2.3970320224761963,-1.3319785594940186,3.254589557647705,-2.725724458694458,-0.10362731665372849,-0.8657655715942383,-0.16522108018398285,-1.2934019565582275,0.0
